Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
xy01c3.tiff,1,1,2159,478,2360,181.09545442950497,61.69230844701935,48.74580647608096,0.9042880005970436,1.2655921176992138,6.0,40.41
xy01c3.tiff,1,2,1842,1045,6771,335.2203461105329,121.28671823058569,71.67282434681809,0.7571848877482416,1.6922274144477774,2.0,2.7
xy01c3.tiff,1,3,284,1543,2375,184.99494936611669,67.06364140349365,45.214030959531,0.8720747951247834,1.4832484514269308,10.0,2.91
xy02c3.tiff,2,1,600,1153,2087,185.78174593052026,68.09842794684108,39.46927402742059,0.75984714003688,1.7253529390870197,1.0,4.25
xy02c3.tiff,2,2,417,1670,2759,209.82337649086284,78.81671485482916,44.990286791697706,0.7875059097990204,1.7518606898361366,3.0,2.99
xy03c3.tiff,3,1,620,1318,2963,208.79393923933998,74.1193298400092,51.361349046744785,0.854094134626338,1.4430954641115834,9.0,2.54
xy03c3.tiff,3,2,1003,1899,3243,229.62236636408616,80.04965482080155,52.436011758524806,0.7729091278395136,1.5266160056077769,8.0,4.29
xy04c3.tiff,4,1,1248,1627,3410,226.65180361560903,77.80258193947476,55.980870966579154,0.8341533230861241,1.3898065642087505,6.0,2.83
xy04c3.tiff,4,2,1038,1686,2294,186.7106781186548,72.87868147444216,40.256907203640225,0.8269227972035055,1.810339803447497,4.0,3.07
xy04c3.tiff,4,3,1809,2059,2421,192.65180361560903,72.4257882418933,42.675734460095406,0.8197067190270324,1.697118729371046,9.0,2.75
xy05c3.tiff,5,1,1706,1564,2246,175.78174593052026,58.905110382430045,48.5706938200666,0.9134232640223208,1.2127706184442826,5.0,3.35
xy06c3.tiff,6,1,844,149,2575,189.09545442950497,66.48809825597961,49.32121217369325,0.9049506973380148,1.3480629393663357,8.0,2.32
xy06c3.tiff,6,2,1934,640,2259,191.78174593052026,75.32540752322937,38.75810873959721,0.77181205739192,1.9434747972176776,4.0,5.59
xy06c3.tiff,6,3,1718,1227,1972,172.85281374238568,65.10356317380386,38.67808490109817,0.8293996879707307,1.683215788482728,2.0,2.2
xy06c3.tiff,6,4,1323,1287,2264,186.16652224137047,70.87974450140943,40.68972775836857,0.8208865027159357,1.7419567150294275,10.0,2.36
xy06c3.tiff,6,5,1134,1367,2493,188.99494936611663,66.92943593118618,47.46459417793294,0.8770649298345707,1.4100918187625158,7.0,2.0
xy06c3.tiff,6,6,2112,1793,2386,182.75230867899742,61.893381690380686,49.18474303077915,0.8977482336086715,1.2583857895048602,7.0,2.01
xy07c3.tiff,7,1,904,281,2329,192.5096679918781,69.92734024714667,42.61869561546858,0.7897220469391231,1.6407667864374136,10.0,2.94
xy07c3.tiff,7,2,25,801,2099,182.95331880577405,61.819283258141745,45.06795081014368,0.7880281260332532,1.3716905727213085,1.0,5.84
xy08c3.tiff,8,1,1903,158,2236,177.4386001800126,62.116405194979976,45.86269295608968,0.8924532140412974,1.3543994299343065,5.0,3.5
xy08c3.tiff,8,2,2293,504,2197,178.61017305526642,65.03345503235539,43.04979868791815,0.8654212171965899,1.5106564261497213,8.0,2.01
xy08c3.tiff,8,3,1544,724,2039,180.3086578651014,72.82247320988891,35.89487685079396,0.7881228667509519,2.0287706658694984,8.0,3.87
xy08c3.tiff,8,4,2510,826,2257,192.02438661763958,63.040574217066705,47.69753623891021,0.7691811808774781,1.3216735954936,6.0,5.92
xy08c3.tiff,8,5,1806,1647,2605,200.75230867899742,74.44781977626941,44.7884571336065,0.8122626708172682,1.662209965263759,3.0,2.15
xy09c3.tiff,9,1,1102,1277,2073,193.1370849898476,80.0448568704167,33.033972855949,0.6983575319189611,2.4231071817933527,3.0,3.24
xy09c3.tiff,9,2,1028,1425,2517,192.7523086789973,65.88963943095729,49.05638318789085,0.8513220900647028,1.343140997137791,7.0,4.3
xy09c3.tiff,9,3,2156,1607,2390,203.4386001800126,76.06090645854778,40.58294518797664,0.7256731379239553,1.8742086387826304,2.0,4.32
xy11c3.tiff,11,1,1348,1485,2167,184.61017305526642,70.74966308382972,39.05938397194856,0.7990197541907498,1.8113358657842704,4.0,1.79
xy12c3.tiff,12,1,1580,921,2283,178.61017305526642,60.1900451262466,48.35455242943753,0.8992975142739252,1.2447648070795458,7.0,2.25
xy12c3.tiff,12,2,213,1316,2643,199.6223663640862,75.40921473991196,44.966159671294974,0.8334674202062585,1.6770214599413718,2.0,2.58
xy12c3.tiff,12,3,1033,1504,2333,186.75230867899742,69.75890385948597,42.678718113582704,0.8406063068103234,1.6345126316548122,2.0,1.82
xy13c3.tiff,13,1,1772,46,2985,215.96551211459385,83.42618996987449,45.74011369810484,0.8042394869601099,1.823917415695692,2.0,2.13
xy13c3.tiff,13,2,506,839,2708,196.16652224137044,69.93927507066479,49.319873567180956,0.8843185570652061,1.4180749059584914,10.0,2.58
