Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
xy01c3.tiff,1,1,1949,677,2823,203.68124086713192,74.60359502496286,48.32627400841601,0.8551034879471758,1.543748127819055,6.0,76.68
xy01c3.tiff,1,2,37,731,2105,178.02438661763958,65.97760620380984,40.7787147480156,0.8346472523457441,1.6179422674673798,6.0,4.97
xy01c3.tiff,1,3,301,1308,2337,186.75230867899742,60.80112159815502,49.36493597409131,0.8420475520856091,1.2316661694864928,6.0,3.76
xy01c3.tiff,1,4,1803,1445,2762,200.16652224137047,67.11910870773481,52.61951877399263,0.8662647668848629,1.2755553504018105,10.0,2.28
xy02c3.tiff,2,1,864,407,3272,217.48023074035527,75.23616660374313,55.44478397784477,0.8693278415944977,1.3569566189275228,7.0,1.55
xy04c3.tiff,4,1,213,660,2062,178.75230867899742,67.0579332582392,39.677567672018064,0.8109521054234126,1.6900716750722269,9.0,3.69
xy05c3.tiff,5,1,1033,378,2044,174.5096679918781,63.36059569380972,41.250280024343226,0.8434352951875775,1.5360040139465336,1.0,1.77
xy05c3.tiff,5,2,1017,460,2519,194.75230867899742,73.07306344495163,43.94629849254092,0.8345892801577265,1.6627808473415444,4.0,1.97
xy05c3.tiff,5,3,412,890,1974,176.02438661763958,62.470086378720296,41.10374217786271,0.8005921604449141,1.5198150598649114,4.0,3.66
xy05c3.tiff,5,4,2150,1426,2914,258.9360748630709,76.62668361913916,52.820511590050295,0.5461529586919229,1.4506993838653617,1.0,12.72
xy05c3.tiff,5,5,761,1766,2105,171.53910524340094,59.967723729747924,44.76737924250397,0.8989503033457132,1.3395406375008911,5.0,2.15
xy08c3.tiff,8,1,1443,1636,2056,173.1959594928933,62.43345070129031,42.19805089584014,0.8613059792901221,1.4795339921125352,4.0,2.51
xy10c3.tiff,10,1,2408,1606,2467,188.40916292848976,64.75090872931496,48.702385534441326,0.8733231516111161,1.3295223225466941,4.0,1.77
xy10c3.tiff,10,2,780,1619,3906,242.5512985522207,84.90152139510933,58.90445959285504,0.8343243040343735,1.4413428453795316,4.0,3.25
xy11c3.tiff,11,1,1486,532,2517,192.30865786510142,71.21227205624976,45.04628708831788,0.8552545744602613,1.5808688497817986,9.0,2.33
xy11c3.tiff,11,2,627,1561,2078,176.26702730475878,64.83656532904025,41.046647977894594,0.8404526417372272,1.5795824634439717,9.0,2.93
xy11c3.tiff,11,3,1509,1584,2449,190.99494936611663,68.21959654172633,46.22942328225954,0.8436355712482309,1.4756748342976946,10.0,2.58
xy11c3.tiff,11,4,696,1865,2570,194.40916292848976,72.04238019224384,45.51822239649169,0.8544950017384889,1.5827151500933063,2.0,2.32
xy12c3.tiff,12,1,490,206,1978,172.16652224137047,62.70605198931428,40.71741521771427,0.8385688728804563,1.5400302709302078,9.0,3.18
xy12c3.tiff,12,2,1386,711,2385,185.92388155425118,64.66032710351232,47.118409798040005,0.8670175573616464,1.3722943405913073,6.0,1.16
xy13c3.tiff,13,1,424,207,2447,192.26702730475878,72.38301969233756,43.17174977521619,0.831829293223756,1.67662927885056,2.0,2.15
xy13c3.tiff,13,2,2102,467,2038,179.09545442950497,66.55992257841305,39.25031539688653,0.7984448373169034,1.6957805792228826,9.0,2.47
xy13c3.tiff,13,3,1479,711,2087,177.78174593052017,67.35474455089489,39.50945643116326,0.8297704780056677,1.7047752774894809,4.0,2.69
xy13c3.tiff,13,4,486,1119,2065,180.75230867899742,65.98256295435502,40.10002188758996,0.7942591265673254,1.64544954961172,3.0,1.63
xy14c3.tiff,14,1,125,698,3068,211.237590053236,75.43532804029934,52.02870587847936,0.8640180415722514,1.4498789998061756,10.0,3.14
xy14c3.tiff,14,2,209,1091,2098,172.16652224137047,56.021880564851294,48.10915692464756,0.8894426164323547,1.1644743775617872,7.0,3.66
xy14c3.tiff,14,3,1370,1196,2674,197.72287142747447,69.2341996997171,49.606115987992105,0.8595228945757151,1.3956787045467594,4.0,3.69
xy15c3.tiff,15,1,1420,1748,2115,177.09545442950497,64.25988811485647,42.114074060731575,0.8474330693261867,1.525853044333564,9.0,3.47
xy16c3.tiff,16,1,805,181,2292,181.4386001800126,63.225182452918474,46.24114352201129,0.8749134724868034,1.3672927967886996,5.0,4.32
xy16c3.tiff,16,2,1457,879,2084,172.5096679918781,55.42513559094802,48.27476690932357,0.8799960038333486,1.1481181399602671,7.0,3.27
xy16c3.tiff,16,3,1167,1946,2030,169.92388155425118,59.39244454004144,43.717541492542736,0.8834806902568644,1.3585495092438469,7.0,1.91
xy17c3.tiff,17,1,574,564,2451,200.06601717798213,72.24908389991191,44.18494001456311,0.7694962758271089,1.6351517932603057,3.0,3.27
xy18c3.tiff,18,1,1466,617,1990,165.43860018001263,55.90139559168438,45.49759825225203,0.9136697510784072,1.228666956918267,6.0,3.22
xy20c3.tiff,20,1,410,382,2030,174.71067811865476,59.062957532607896,44.5098220703192,0.8357319454358461,1.3269645841157671,7.0,4.06
xy20c3.tiff,20,2,1557,1291,3162,210.5512985522207,68.14690627418649,59.350400119416435,0.8963051280349218,1.1482130893316804,7.0,3.06
xy20c3.tiff,20,3,1828,1892,2192,181.82337649086284,64.18818316781336,43.72533704788098,0.8332032916146531,1.4679860122638908,3.0,2.19
xy22c3.tiff,22,1,1090,257,2068,179.68124086713192,67.64523448515789,39.51308887278513,0.8049240842403014,1.7119702968033192,10.0,2.82
xy22c3.tiff,22,2,385,345,2101,181.68124086713192,66.18649567440141,40.85025326895408,0.7998632466182041,1.62022240691229,5.0,3.43
